model_key,model_label,model,arm,label,base_arm,budget_warning_ratio,budget_warning_ratio_label,runs,valid_runs,run_valid_rate,run_resolve_rate,tasks_expected,tasks_valid,all_tasks_valid,mean_total_tokens,ci95_low_total_tokens,ci95_high_total_tokens,n_tasks_total_tokens,mean_input_tokens,ci95_low_input_tokens,ci95_high_input_tokens,n_tasks_input_tokens,mean_output_tokens,ci95_low_output_tokens,ci95_high_output_tokens,n_tasks_output_tokens,mean_reasoning_tokens,ci95_low_reasoning_tokens,ci95_high_reasoning_tokens,n_tasks_reasoning_tokens,mean_cache_read_tokens,ci95_low_cache_read_tokens,ci95_high_cache_read_tokens,n_tasks_cache_read_tokens,mean_cost_usd,ci95_low_cost_usd,ci95_high_cost_usd,n_tasks_cost_usd,mean_wall_seconds,ci95_low_wall_seconds,ci95_high_wall_seconds,n_tasks_wall_seconds,mean_api_calls,ci95_low_api_calls,ci95_high_api_calls,n_tasks_api_calls,actual_cost_runs
v4-flash-0731,DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,baseline,Baseline Hermes · ratio null,baseline,,null,5,5,100.0,100.0,5,5,True,855245.0,682924.0229046466,1027565.9770953534,5,42088.4,14233.461070178953,69943.33892982105,5,8548.6,6203.659424935653,10893.540575064348,5,0.0,0.0,0.0,5,804608.0,620133.2846363601,989082.7153636399,5,0.020028367999999998,0.01643325780611182,0.023623478193888176,5,175.75285728620366,87.57774404960725,263.9279705228001,5,38.8,32.44442689985781,45.155573100142185,5,0
v4-flash-0731,DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,baseline__warning_0p1,Baseline Hermes · ratio 0.1,baseline,0.1,0.1,5,4,80.0,100.0,5,4,False,783247.0,0.0,1774626.51805391,4,39957.5,25493.280333395043,54421.71966660496,4,7225.5,1210.5504229947137,13240.449577005285,4,0.0,0.0,0.0,4,736064.0,0.0,1723947.2480410943,4,0.017999644000000002,0.0,0.03742309157099654,4,166.1188803180121,62.56686898845361,269.67089164757056,4,30.75,8.345376737528607,53.15462326247139,4,0
v4-flash-0731,DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,baseline__warning_0p05,Baseline Hermes · ratio 0.05,baseline,0.05,0.05,5,4,80.0,100.0,5,4,False,1194176.25,0.0,2648496.9533962784,4,82202.75,0.0,229270.28614744902,4,11173.5,0.0,24744.83369038455,4,0.0,0.0,0.0,4,1100800.0,0.0,2533123.935327517,4,0.02805195,0.0,0.059827131415095276,4,245.6364852814586,45.51654083421502,445.7564297287022,4,44.25,9.282293786445429,79.21770621355458,4,0
v4-flash-0731,DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,ponytail,Ponytail · ratio null,ponytail,,null,5,5,100.0,100.0,5,5,True,744061.4,333067.8354992638,1155054.9645007362,5,41958.2,8412.243903540548,75504.15609645945,5,7575.2,2470.3722141997605,12680.02778580024,5,0.0,0.0,0.0,5,694528.0,264123.33049481286,1124932.669505187,5,0.017638904,0.008705701914916455,0.026572106085083546,5,142.40092697655783,103.98496440151781,180.81688955159785,5,34.0,18.996917394404242,49.00308260559576,5,0
v4-flash-0731,DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,ponytail__warning_0p1,Ponytail · ratio 0.1,ponytail,0.1,0.1,5,5,100.0,100.0,5,5,True,623013.8,146193.23073784373,1099834.3692621563,5,28382.8,21471.719729731507,35293.88027026849,5,6138.2,1853.1621700456208,10423.237829954378,5,0.0,0.0,0.0,5,588492.8,117042.94292905013,1059942.65707095,5,0.0144796448,0.004188204451639034,0.024771085148360968,5,102.22192166582681,26.246663677512586,178.19717965414105,5,28.6,10.895944520136176,46.30405547986383,5,0
v4-flash-0731,DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,ponytail__warning_0p05,Ponytail · ratio 0.05,ponytail,0.05,0.05,5,5,100.0,100.0,5,5,True,575679.4,456572.2725965541,694786.527403446,5,25498.6,7036.811562397012,43960.38843760299,5,5720.0,3964.3774023763185,7475.622597623682,5,0.0,0.0,0.0,5,544460.8,435201.9377701401,653719.66222986,5,0.013392116800000001,0.01038240727784875,0.01640182632215125,5,133.7478601170238,77.27395091229272,190.2217693217549,5,30.2,26.433846766000354,33.96615323399965,5,0
v4-1-flash,DeepSeek V4.1 Flash,deepseek/deepseek-v4.1-flash-20260910,baseline,Baseline Hermes · ratio null,baseline,,null,5,4,80.0,100.0,5,4,False,3252208.75,0.0,9826248.69277655,4,60170.0,0.0,130740.32111639676,4,13030.75,0.0,32168.461121158027,4,0.0,0.0,0.0,4,3179008.0,0.0,9687298.226244379,4,0.021798838879999997,0.0,0.055956178911935474,4,439.9412498627207,0.0,1036.4085922538766,4,77.75,0.0,187.25092536008233,4,0
v4-1-flash,DeepSeek V4.1 Flash,deepseek/deepseek-v4.1-flash-20260910,baseline__warning_0p1,Baseline Hermes · ratio 0.1,baseline,0.1,0.1,5,5,100.0,100.0,5,5,True,7160682.2,0.0,24205953.10716673,5,59538.4,0.0,130234.19742363566,5,17060.6,0.0,49779.349484238424,5,0.0,0.0,0.0,5,7084083.2,0.0,24027464.446524296,5,0.03620318195200001,0.0,0.11189079048435543,5,432.8389700865373,0.0,1221.571144782171,5,101.0,0.0,272.538470058786,5,0
v4-1-flash,DeepSeek V4.1 Flash,deepseek/deepseek-v4.1-flash-20260910,baseline__warning_0p05,Baseline Hermes · ratio 0.05,baseline,0.05,0.05,5,5,100.0,100.0,5,5,True,2629870.6,0.0,7556765.599865206,5,36675.2,4488.27093487071,68862.12906512928,5,12152.2,0.0,29889.95997257323,5,0.0,0.0,0.0,5,2581043.2,0.0,7458516.951086623,5,0.016863066752,0.0,0.042761762152687934,5,406.20742007116786,0.0,953.4140689438148,5,68.8,0.0,150.40764884030978,5,0
v4-1-flash,DeepSeek V4.1 Flash,deepseek/deepseek-v4.1-flash-20260910,ponytail,Ponytail · ratio null,ponytail,,null,5,5,100.0,100.0,5,5,True,3053048.2,0.0,8234913.713740925,5,47311.2,8310.938615627798,86311.4613843722,5,11407.4,0.0,24074.155230093547,5,0.0,0.0,0.0,5,2994329.6,0.0,8125921.253876934,5,0.019192688256,0.0,0.04490954454913614,5,266.41651112800463,79.20026334225582,453.63275891375343,5,65.2,3.3444442949113338,127.05555570508866,5,0
v4-1-flash,DeepSeek V4.1 Flash,deepseek/deepseek-v4.1-flash-20260910,ponytail__warning_0p1,Ponytail · ratio 0.1,ponytail,0.1,0.1,5,5,100.0,100.0,5,5,True,2568425.6,226629.79988410464,4910221.400115896,5,70472.4,7173.382118140464,133771.41788185952,5,11527.6,2703.7292792452663,20351.470720754733,5,0.0,0.0,0.0,5,2486425.6,187892.3775510285,4784958.822448972,5,0.020120572416,0.004396767615255148,0.035844377216744855,5,493.34149683807044,0.0,1098.8761428205744,5,76.6,23.740978698896242,129.45902130110375,5,0
v4-1-flash,DeepSeek V4.1 Flash,deepseek/deepseek-v4.1-flash-20260910,ponytail__warning_0p05,Ponytail · ratio 0.05,ponytail,0.05,0.05,5,5,100.0,80.0,5,5,True,2113675.0,0.0,5686740.595255863,5,36435.2,9190.112438817818,63680.28756118218,5,9169.4,0.0,21277.609978564502,5,0.0,0.0,0.0,5,2068070.4,0.0,5602443.653490576,5,0.014110377344,0.0,0.03304498076752237,5,269.1834422737826,0.0,572.926423364785,5,58.0,0.0,122.929646200452,5,0
