model_key,model_label,model,api_provider,upstream_provider,reasoning,arm,base_arm,budget_warning_ratio,budget_warning_ratio_label,instance_id,repeat,repeat_seed,block_position,run_index
v4-flash-0731,DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,openrouter,relace,none,ponytail__warning_0p1,ponytail,0.1,0.1,django__django-15731,1,260920,1,1
v4-flash-0731,DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,openrouter,relace,none,ponytail__warning_0p05,ponytail,0.05,0.05,django__django-16662,1,260920,2,2
v4-flash-0731,DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,openrouter,relace,none,baseline,baseline,,null,django__django-15731,1,260920,3,3
v4-1-flash,DeepSeek V4.1 Flash,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,none,ponytail__warning_0p1,ponytail,0.1,0.1,django__django-16662,1,260920,4,4
v4-flash-0731,DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,openrouter,relace,none,ponytail,ponytail,,null,django__django-7530,1,260920,5,5
v4-1-flash,DeepSeek V4.1 Flash,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,none,ponytail__warning_0p1,ponytail,0.1,0.1,django__django-13516,1,260920,6,6
v4-1-flash,DeepSeek V4.1 Flash,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,none,baseline,baseline,,null,django__django-13516,1,260920,7,7
v4-1-flash,DeepSeek V4.1 Flash,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,none,baseline__warning_0p05,baseline,0.05,0.05,django__django-13516,1,260920,8,8
v4-flash-0731,DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,openrouter,relace,none,ponytail,ponytail,,null,pytest-dev__pytest-7571,1,260920,9,9
v4-1-flash,DeepSeek V4.1 Flash,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,none,baseline,baseline,,null,django__django-7530,1,260920,10,10
