arm,task,repeat,run_index,valid,resolved,evaluation_completed,patch_nonempty,completed,exit_code,wall_seconds,evaluation_seconds,repo,difficulty,model,api_provider,upstream_provider,session_id,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,total_tokens,api_calls,estimated_cost_usd,actual_cost_usd,cost_usd,cost_source,tool_calls,files_changed,diff_lines,run_dir,error,base_arm,budget_warning_ratio,api_wait_seconds,tool_execution_seconds,terminal_execution_seconds,unattributed_wall_seconds,api_duration_mean_seconds,api_duration_p95_seconds,ttft_mean_seconds,timing_event_count,skill_lifecycle_event_count,trace_exported
ponytail__warning_0p1,django__django-15731,1,1,True,True,True,True,True,0,64.16762132104486,23.46097035589628,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_173711_e932db,20994,4321,0,306944,0,332259,19,0.008516304,,0.008516304,hermes_estimate,19,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/01__v4-flash-0731__ponytail__django__django-15731__r1,,ponytail,0.1,49.644153118133545,1.659,1.5670000000000002,12.864468202911317,2.6128501641122917,5.3299138545989635,0.7272041973314787,80,0,True
ponytail__warning_0p05,django__django-16662,1,2,True,True,True,True,True,0,84.12861353205517,22.65584373800084,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_173858_98ea20,21571,4554,0,429568,0,455693,26,0.010650488,,0.010650488,hermes_estimate,25,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/02__v4-flash-0731__ponytail__django__django-16662__r1,,ponytail,0.05,70.83929300308228,1.004,0.9380000000000001,12.285320528972894,2.7245881924262414,5.9996577501297,1.0877680228306696,106,0,True
baseline,django__django-15731,1,3,True,True,True,True,True,0,89.40091503807344,22.606891698902473,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_174102_a5379a,19138,7554,0,920320,0,947012,45,0.0203252,,0.0203252,hermes_estimate,44,1,5,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/03__v4-flash-0731__baseline__django__django-15731__r1,,baseline,,67.1359384059906,10.159,9.991999999999999,12.105976632082834,1.4919097423553467,2.4846343040466308,0.771909671359592,182,0,True
ponytail__warning_0p1,django__django-16662,1,4,True,True,True,True,True,0,184.85956396604888,22.195634524105117,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_174315_333922,62717,7820,0,891648,0,962185,41,0.01264776128,,0.01264776128,hermes_estimate,43,1,3,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/04__v4-1-flash__ponytail__django__django-16662__r1,,ponytail,0.1,159.17063307762146,12.42,12.193999999999999,13.268930888427422,3.882210562868816,6.9998884201049805,1.920677347881038,172,0,True
ponytail,django__django-7530,1,5,True,True,True,True,True,0,134.72371484106407,23.980249922024086,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_174700_9f5dbe,20389,12417,0,860416,0,893222,36,0.022529096000000002,,0.022529096000000002,hermes_estimate,35,1,2,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/05__v4-flash-0731__ponytail__django__django-7530__r1,,ponytail,,120.89609408378601,1.678,1.265,12.149620757278054,3.3582248356607227,6.307487726211548,0.8979810012711419,146,0,True
ponytail__warning_0p1,django__django-13516,1,6,True,True,True,True,True,0,250.446241049096,23.432049826020375,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_174958_217031,44551,8650,0,2286336,0,2339537,82,0.015578200959999998,,0.015578200959999998,hermes_estimate,82,1,3,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/06__v4-1-flash__ponytail__django__django-13516__r1,,ponytail,0.1,219.28789114952087,18.227999999999998,17.794999999999998,12.930349899575116,2.674242574994157,3.8895218849182136,1.9086910079165202,332,0,True
baseline,django__django-13516,1,7,True,True,True,True,True,0,577.150830846047,23.455954483011737,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_175451_482e1f,106660,14735,0,2727424,0,2848819,88,0.02606102464,,0.02606102464,hermes_estimate,91,1,3,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/07__v4-1-flash__baseline__django__django-13516__r1,,baseline,,433.33610439300537,130.333,129.842,13.48172645304166,4.924273913556879,14.406604576110833,2.332675565372814,362,0,True
baseline__warning_0p05,django__django-13516,1,8,True,True,True,True,True,0,300.14615958789364,23.31109004188329,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_180511_513a93,32091,7081,0,968192,0,1007364,47,0.009226533120000005,,0.009226533120000005,hermes_estimate,50,1,4,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/08__v4-1-flash__baseline__django__django-13516__r1,,baseline,0.05,189.8904938697815,97.92099999999999,97.49799999999999,12.334665718112149,4.040223273825138,7.763771677017207,2.304885524384519,198,0,True
ponytail,pytest-dev__pytest-7571,1,9,True,True,True,True,True,0,175.66914906399325,22.05330137303099,pytest-dev/pytest,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260923_181052_bdd424,27826,7932,0,888320,0,924078,41,0.02040264,,0.02040264,hermes_estimate,42,2,7,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/09__v4-flash-0731__ponytail__pytest-dev__pytest-7571__r1,,ponytail,,154.8966019153595,8.558,8.31,12.214547148633748,3.777965900374622,7.948847532272339,1.0376297671620438,170,0,True
baseline,django__django-7530,1,10,False,False,False,False,False,124,1800.0976722370833,0.0,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_181428_87c23f,130137,64832,0,25061632,0,25256601,304,0.12056597952000002,,0.12056597952000002,partial_timeout_usage,,0,0,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/10__v4-1-flash__baseline__django__django-7530__r1,Hermes timeout,baseline,,1306.1600182056427,478.266,353.031,15.671654031440596,4.296579007255404,8.140356791019427,2.5363110170552603,1240,0,True
baseline,pytest-dev__pytest-7571,1,11,True,True,True,True,True,0,904.6072196348105,21.96276030293666,pytest-dev/pytest,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260923_184446_bbca15,89421,29365,0,9096448,0,9215234,171,0.050445857279999985,,0.050445857279999985,hermes_estimate,175,2,24,benchmark-results/deepseek-v4-v41-ponytail-warnings-/runs/11__v4-1-flash__baseline__pytest-dev__pytest-7571__r1,,baseline,,752.3529126644135,136.744,136.343,15.51030697039701,4.399724635464406,8.045282244682312,2.3457851200773003,696,0,True
