arm,task,repeat,run_index,valid,resolved,evaluation_completed,patch_nonempty,completed,exit_code,wall_seconds,evaluation_seconds,repo,difficulty,model,api_provider,upstream_provider,session_id,input_tokens,output_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,total_tokens,api_calls,estimated_cost_usd,actual_cost_usd,cost_usd,cost_source,tool_calls,files_changed,diff_lines,run_dir,error,api_wait_seconds,tool_execution_seconds,terminal_execution_seconds,unattributed_wall_seconds,api_duration_mean_seconds,api_duration_p95_seconds,ttft_mean_seconds,timing_event_count,skill_lifecycle_event_count,trace_exported,study_id,study_label,study_date,study_source_path,source_run_path,source_run_id,model_short,treatment_label
caveman,django__django-7530,1,1,True,False,False,False,True,0,76.49509247182868,0.0,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260920_225953_5fbcf7,32840,2060,0,244480,0,279380,16,0.006895439999999998,,0.006895439999999998,hermes_estimate,17,0,0,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/01__v4-1-flash__caveman__django__django-7530__r1,empty patch,60.03238582611084,0.731,0.465,15.731706645717844,3.7520241141319275,7.175592005252838,1.6098518520593643,72,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/01__v4-1-flash__caveman__django__django-7530__r1,01__v4-1-flash__caveman__django__django-7530__r1,V4.1,Caveman
ponytail,django__django-7530,1,2,True,True,True,True,True,0,204.05214796192013,22.51823688717559,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260920_230123_b89ae0,23500,7150,0,535296,0,565946,29,0.010648735999999999,,0.010648735999999999,hermes_estimate,28,1,2,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/02__v4-flash-0731__ponytail__django__django-7530__r1,,190.81295323371887,1.438,1.084,11.801194728201255,6.579757008059271,18.817133235931387,1.0879823914889633,118,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/02__v4-flash-0731__ponytail__django__django-7530__r1,02__v4-flash-0731__ponytail__django__django-7530__r1,V4,Ponytail
baseline,django__django-15731,1,3,True,True,True,True,True,0,138.43524729902856,22.206435546977445,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260920_230529_9ad3d4,16784,6713,0,731904,0,755401,38,0.013455904000000001,,0.013455904000000001,hermes_estimate,37,1,4,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/03__v4-flash-0731__baseline__django__django-15731__r1,,116.52562975883484,8.97,8.855,12.939617540193721,3.0664639410219694,7.833801484107971,0.8774209148005435,154,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/03__v4-flash-0731__baseline__django__django-15731__r1,03__v4-flash-0731__baseline__django__django-15731__r1,V4,Baseline
caveman_ponytail,django__django-7530,1,4,True,True,True,True,True,0,64.40206682099961,23.53016173793003,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260920_230828_b4ce6c,19890,2057,0,239360,0,261307,15,0.004954479999999999,,0.004954479999999999,hermes_estimate,14,1,2,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/04__v4-flash-0731__caveman_ponytail__django__django-7530__r1,,51.11874175071716,0.76,0.612,12.523325070282445,3.4079161167144774,9.380645012855526,1.0093181769053141,63,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/04__v4-flash-0731__caveman_ponytail__django__django-7530__r1,04__v4-flash-0731__caveman_ponytail__django__django-7530__r1,V4,Caveman + Ponytail
baseline,django__django-16662,1,5,True,True,True,True,True,0,180.9843252899591,21.61008330108598,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260920_231015_54904a,26540,4015,0,617472,0,648027,34,0.008242416,,0.008242416,hermes_estimate,37,1,4,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/05__v4-1-flash__baseline__django__django-16662__r1,,164.89788389205933,3.272,3.023,12.814441397899762,4.849937761531157,15.693888461589797,1.5959859805948593,146,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/05__v4-1-flash__baseline__django__django-16662__r1,05__v4-1-flash__baseline__django__django-16662__r1,V4.1,Baseline
caveman,pytest-dev__pytest-7571,1,6,True,True,True,True,True,0,439.59862745995633,21.25308533385396,pytest-dev/pytest,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260920_231355_5bfde7,48107,11882,0,2488064,0,2548053,71,0.021809442,,0.021809442,hermes_estimate,76,2,7,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/06__v4-1-flash__caveman__pytest-dev__pytest-7571__r1,,397.7604444026947,28.381999999999998,26.692999999999998,13.456183057261633,5.602259780319644,11.945438265800476,1.3631735083083032,303,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/06__v4-1-flash__caveman__pytest-dev__pytest-7571__r1,06__v4-1-flash__caveman__pytest-dev__pytest-7571__r1,V4.1,Caveman
ponytail,django__django-15731,1,7,True,True,True,True,True,0,189.90455127018504,21.842486372916028,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260920_232154_79d647,26189,6940,0,633344,0,666473,31,0.009992382000000001,,0.009992382000000001,hermes_estimate,34,1,4,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/07__v4-1-flash__ponytail__django__django-15731__r1,,170.8078682422638,6.26,6.11,12.836683027921245,5.509931233621413,20.23285174369812,1.7293851375579834,134,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/07__v4-1-flash__ponytail__django__django-15731__r1,07__v4-1-flash__ponytail__django__django-15731__r1,V4.1,Ponytail
caveman,django__django-13516,1,8,True,True,True,True,True,0,260.6484261499718,22.365839695790783,django/django,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260920_232544_c9f660,28229,5056,0,719872,0,753157,35,0.009427566,,0.009427566,hermes_estimate,38,1,3,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/08__v4-1-flash__caveman__django__django-13516__r1,,161.97570037841797,86.203,85.994,12.469725771553811,4.627877153669085,13.709648704528806,1.7236998762403215,151,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/08__v4-1-flash__caveman__django__django-13516__r1,08__v4-1-flash__caveman__django__django-13516__r1,V4.1,Caveman
caveman_ponytail,django__django-16662,1,9,True,True,True,True,True,0,233.92859992710873,21.40495794895105,django/django,15 min - 1 hour,deepseek/deepseek-v4-flash-0731,openrouter,relace,20260920_233045_101a94,70062,2963,0,324352,0,397377,19,0.008466192,,0.008466192,hermes_estimate,18,2,5,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/09__v4-flash-0731__caveman_ponytail__django__django-16662__r1,,217.14962339401245,5.122,4.964,11.656976533096284,11.428927547053286,21.23758735656705,9.245962883296766,79,1,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/09__v4-flash-0731__caveman_ponytail__django__django-16662__r1,09__v4-flash-0731__caveman_ponytail__django__django-16662__r1,V4,Caveman + Ponytail
baseline,pytest-dev__pytest-7571,1,10,True,False,False,False,True,0,290.51753222499974,0.0,pytest-dev/pytest,15 min - 1 hour,deepseek/deepseek-v4.1-flash-20260910,openrouter,relace,20260920_233518_59f776,27040,9152,0,511488,0,547680,27,0.011081664000000001,,0.011081664000000001,hermes_estimate,30,0,0,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/10__v4-1-flash__baseline__pytest-dev__pytest-7571__r1,empty patch,268.8898537158966,9.637,9.495,11.990678509103134,9.958883470959133,10.136106061935422,2.0965673746886075,118,0,True,prior_relace,Previous · both models via Relace,2026-09-20,benchmark-results/deepseek-v4-v41-relace-20260920-185646,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/10__v4-1-flash__baseline__pytest-dev__pytest-7571__r1,10__v4-1-flash__baseline__pytest-dev__pytest-7571__r1,V4.1,Baseline
