model,model_short,arm,metric,n,estimate_log1p,estimate,ci_low,ci_high,study_variance,task_variance,residual_variance,config,config_label
deepseek/deepseek-v4.1-flash-20260910,V4.1,baseline,input_tokens,9,10.29120438501488,29471.24892037981,25218.920967167858,34440.56139726286,0.0001,0.0001,0.056234132519034905,v41_base,V4.1 · Baseline
deepseek/deepseek-v4.1-flash-20260910,V4.1,baseline,output_tokens,9,8.861979327822034,7057.439893583498,4885.388832900604,10194.990420548766,0.0001,0.0001,0.31622776601683794,v41_base,V4.1 · Baseline
deepseek/deepseek-v4.1-flash-20260910,V4.1,baseline,cache_read_tokens,9,13.735577324784202,923176.9819870915,618397.8816299269,1378167.059068033,0.0001,0.03162277660168379,0.31622776601683794,v41_base,V4.1 · Baseline
deepseek/deepseek-v4.1-flash-20260910,V4.1,baseline,cost_usd,9,0.01518246921353424,0.015298308398397435,-0.002543158526755621,0.0334589048626002,0.0001,0.0001,0.0001,v41_base,V4.1 · Baseline
deepseek/deepseek-v4.1-flash-20260910,V4.1,baseline,wall_seconds,9,5.22406730024559,184.6878986757174,78.02739796531267,435.30432738956836,0.31622776601683794,0.1,0.1,v41_base,V4.1 · Baseline
deepseek/deepseek-v4-flash-0731,V4,baseline,input_tokens,8,10.184133495674269,26478.695101060992,17603.09195132573,39829.185764983435,0.0001,0.1,0.1778279410038923,v4_base,V4 · Baseline
deepseek/deepseek-v4-flash-0731,V4,baseline,output_tokens,8,9.138851708920747,9309.068323078793,7472.066540291911,11597.635140348875,0.0001,0.0001,0.1,v4_base,V4 · Baseline
deepseek/deepseek-v4-flash-0731,V4,baseline,cache_read_tokens,8,13.769876576143828,955390.5888920742,707407.7858849922,1290303.9924433893,0.0001,0.005623413251903491,0.1778279410038923,v4_base,V4 · Baseline
deepseek/deepseek-v4-flash-0731,V4,baseline,cost_usd,8,0.020588830015020463,0.020802242094352302,0.0025627304734497426,0.03937358311012169,0.0001,0.0001,0.0001,v4_base,V4 · Baseline
deepseek/deepseek-v4-flash-0731,V4,baseline,wall_seconds,8,5.162931710595994,173.67580458241076,102.85590304289272,292.78817970425024,0.0001,0.0001,0.5623413251903491,v4_base,V4 · Baseline
deepseek/deepseek-v4-flash-0731,V4,ponytail,input_tokens,10,10.253057195868145,28368.13949606152,12569.184023573536,64024.162578184885,0.1,0.5623413251903491,0.1,v4_pony,V4 · Ponytail
deepseek/deepseek-v4-flash-0731,V4,ponytail,output_tokens,10,8.478445596648083,4808.967453477319,3726.500070986642,6205.783759332622,0.0001,0.056234132519034905,0.056234132519034905,v4_pony,V4 · Ponytail
deepseek/deepseek-v4-flash-0731,V4,ponytail,cache_read_tokens,10,13.110612312994785,494157.85484729917,393163.7006844784,621094.8750845825,0.0001,0.01778279410038923,0.1,v4_pony,V4 · Ponytail
deepseek/deepseek-v4-flash-0731,V4,ponytail,cost_usd,10,0.010822118642916592,0.010880889586248001,-0.006686201516797642,0.028758660647927002,0.0001,0.0001,0.0001,v4_pony,V4 · Ponytail
deepseek/deepseek-v4-flash-0731,V4,ponytail,wall_seconds,10,4.77854884309196,117.93163629215549,74.61315524896942,186.06710577750087,0.0001,0.1778279410038923,0.1778279410038923,v4_pony,V4 · Ponytail
