model,model_short,arm,metric,n,estimate_log1p,estimate,ci_low,ci_high,study_variance,task_variance,residual_variance
deepseek/deepseek-v4-flash-0731,V4,baseline,total_tokens,8,13.80741942802833,991940.5151513288,734470.7611716273,1339666.5290975417,0.0001,0.005623413251903491,0.1778279410038923
deepseek/deepseek-v4-flash-0731,V4,caveman,total_tokens,10,13.651435667311421,848677.4614161567,722036.6455282096,997530.2718560393,0.0001,0.005623413251903491,0.056234132519034905
deepseek/deepseek-v4-flash-0731,V4,ponytail,total_tokens,10,13.187626898736381,533719.1403043449,415325.0776594664,685862.9596429324,0.0001,0.03162277660168379,0.1
deepseek/deepseek-v4-flash-0731,V4,caveman_ponytail,total_tokens,9,13.317982761775742,608030.9821442184,362063.4967683343,1021095.7786404646,0.1,0.0001,0.1778279410038923
deepseek/deepseek-v4.1-flash-20260910,V4.1,baseline,total_tokens,9,13.76889678138539,954454.9596581819,653727.1090208562,1393523.5652683987,0.0001,0.01,0.31622776601683794
deepseek/deepseek-v4.1-flash-20260910,V4.1,caveman,total_tokens,10,14.29044056464355,1607900.6511711203,426138.7807901258,6066899.665892305,0.5623413251903491,0.0001,1.7782794100389228
deepseek/deepseek-v4.1-flash-20260910,V4.1,ponytail,total_tokens,10,14.326301108565495,1666607.2124171443,492120.40454110916,5644100.045119742,0.0001,1.7782794100389228,0.31622776601683794
deepseek/deepseek-v4.1-flash-20260910,V4.1,caveman_ponytail,total_tokens,9,14.821329814538755,2734145.322873064,710256.7072813663,10525130.988351488,0.1,1.7782794100389228,0.5623413251903491
deepseek/deepseek-v4-flash-0731,V4,baseline,tool_calls,8,3.7785057428303235,42.75061819303566,36.08838268591183,50.60959992466502,0.0001,0.0001,0.056234132519034905
deepseek/deepseek-v4-flash-0731,V4,caveman,tool_calls,10,3.6463966534723378,37.336277974552296,33.29379833506247,41.85527647252569,0.0001,0.0001,0.03162277660168379
deepseek/deepseek-v4-flash-0731,V4,ponytail,tool_calls,10,3.296860933836981,26.027663993967142,22.75478428992706,29.751473558130588,0.0001,0.005623413251903491,0.03162277660168379
