study_id,study_label,source_run_id,source_run_path,run_index,model,upstream_provider,treatment,task,source_file,merged_file,exists,source_bytes,source_sha256,source_records_or_lines
prior_relace,Previous · both models via Relace,01__v4-1-flash__caveman__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/01__v4-1-flash__caveman__django__django-7530__r1,1,deepseek/deepseek-v4.1-flash-20260910,relace,caveman,django__django-7530,api-events.jsonl,traces/api_events.jsonl,True,38384,ecd96e6dee816b166279e303832900735bf25d234b651072145a57697ad9ae76,32
prior_relace,Previous · both models via Relace,01__v4-1-flash__caveman__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/01__v4-1-flash__caveman__django__django-7530__r1,1,deepseek/deepseek-v4.1-flash-20260910,relace,caveman,django__django-7530,tool-events.jsonl,traces/tool_events.jsonl,True,16802,29e23ebaf4fc2ea148136a4f83c6524b9bdc490d1432175581aa9a9532f26c80,35
prior_relace,Previous · both models via Relace,01__v4-1-flash__caveman__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/01__v4-1-flash__caveman__django__django-7530__r1,1,deepseek/deepseek-v4.1-flash-20260910,relace,caveman,django__django-7530,hermes-events.jsonl,traces/hermes_events.jsonl,True,57529,24152d9e4b30ec72a33fa43bcbbcbde6289fab34fa6006b41034a2c8c54d0515,72
prior_relace,Previous · both models via Relace,01__v4-1-flash__caveman__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/01__v4-1-flash__caveman__django__django-7530__r1,1,deepseek/deepseek-v4.1-flash-20260910,relace,caveman,django__django-7530,lifecycle-events.jsonl,traces/lifecycle_events.jsonl,True,2343,04ddfd975eb253dbaab51619fb3aa2814ab57782b02b9ed0d77784152a486c80,5
prior_relace,Previous · both models via Relace,01__v4-1-flash__caveman__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/01__v4-1-flash__caveman__django__django-7530__r1,1,deepseek/deepseek-v4.1-flash-20260910,relace,caveman,django__django-7530,hermes-session.trace.jsonl,traces/hermes_session_trace.jsonl,True,44422,49c2aea6affa21cc1e1046cc16a0228a59939d89887a860c7e0beb240cf0378c,34
prior_relace,Previous · both models via Relace,01__v4-1-flash__caveman__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/01__v4-1-flash__caveman__django__django-7530__r1,1,deepseek/deepseek-v4.1-flash-20260910,relace,caveman,django__django-7530,hermes-session.jsonl,traces/hermes_session_records.jsonl,True,68057,62011cd816ed6cfe10350559fd246567171a4d44ecbae0abbf34fbbf9a232982,1
prior_relace,Previous · both models via Relace,01__v4-1-flash__caveman__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/01__v4-1-flash__caveman__django__django-7530__r1,1,deepseek/deepseek-v4.1-flash-20260910,relace,caveman,django__django-7530,hermes-session.json,traces/hermes_session_records.jsonl,True,76991,0d0c01514341351319bff5fb2148acf55530ad9d6996e0957822af70f5bd6f72,1
prior_relace,Previous · both models via Relace,01__v4-1-flash__caveman__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/01__v4-1-flash__caveman__django__django-7530__r1,1,deepseek/deepseek-v4.1-flash-20260910,relace,caveman,django__django-7530,usage.json,traces/usage_records.jsonl,True,963,ae1a35e957adfc8e3ab2c496725fd0ad70c09da480b3890e67c8162551e540f8,1
prior_relace,Previous · both models via Relace,01__v4-1-flash__caveman__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/01__v4-1-flash__caveman__django__django-7530__r1,1,deepseek/deepseek-v4.1-flash-20260910,relace,caveman,django__django-7530,timing-summary.json,traces/timing_summaries.jsonl,True,1535,80f450804161c8feb36eef1eba13b5f09f1c17830a472342b69bcfa035051648,1
prior_relace,Previous · both models via Relace,01__v4-1-flash__caveman__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-20260920-185646/runs/01__v4-1-flash__caveman__django__django-7530__r1,1,deepseek/deepseek-v4.1-flash-20260910,relace,caveman,django__django-7530,treatment-evidence.json,traces/treatment_evidence.jsonl,True,1226,878c924a99cf711fa3ac04bd6d9d2832cb33625b2c8a4957653f5c2e4be3e1aa,1
